id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Высокодоходный трейдинг на лучшей платформе мира
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Инновационная торговая площадка позволяет мгновенно осуществлять сделки и зарабатывать на 6-ти финансовых рынках
3,indexHeaderText.slide2.title,Заголовок №2,Безопасность
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,"Company Name внимательно следит за тем, чтобы средства клиентов были полностью защищены"
5,indexHeaderText.slide3.title,Заголовок №3,Удобство
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,"Мы создали лучшую мобильную версию платформы, чтобы вы могли торговать из любой точки мира"
7,indexHeaderText.slide4.title,Заголовок №4,Возможности
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,"Наша команда собрала на платформе десятки эффективных торговых инструментов, для комфортной и эффективной торговли"
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Почему Company Name?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Доступность
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Мы даем клиентам возможность приступить к торговле, имея минимальную сумму на счету"
12,indexAdvantagesText.advantage2.title,Преимущество №2,Выгода
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,"Следим за тем, чтобы размер комиссии оставался самым низким на рынке брокерских услуг"
14,indexAdvantagesText.advantage3.title,Преимущество №3,Оптимизация
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Предлагаем на выбор 3 варианта сотрудничества с Company Name, в зависимости от вашего опыта и средств"
16,indexAdvantagesText.advantage4.title,Преимущество №4,Прозрачность
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Оперативно сообщаем клиентам обо всех изменениях в работе платформы и условиях сотрудничества
18,indexAdvantagesText.advantage5.title,Преимущество №5,Поддержка
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Опытные финансовые эксперты Company Name помогают клиентам формировать торговые стратегии и совершать успешные сделки
20,indexAdvantagesText.advantage6.title,Преимущество №6,Возможности
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,"Предоставляем на выбор сотни активов на 6-ти финансовых рынках, для успешного трейдинга"
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Максимум эффективности
23,indexBenefitsText.benefit1.title,Преимущество №1,Ликвидность
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Ваши сделки исполняются мгновенно
25,indexBenefitsText.benefit2.title,Преимущество №2,Актуальность
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Вы видите точные цены в реальном времени
27,indexBenefitsText.benefit3.title,Преимущество №3,Поддержка
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Каждая ваша проблема будет решена в считанные часы
29,indexBenefitsText.benefit4.title,Преимущество №4,Сервис
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,"Мы создали все условия для того, чтобы каждый клиент Company Name мог в полной мере реализовать свой потенциал"
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Пройдите короткую регистрацию для доступа к платформе
32,indexStepsText.step1.title,Шаг №1,Создайте аккаунт
33,indexStepsText.step1.text|dot,Описание Шага №1,Заполните контактные данные и подтвердите их
34,indexStepsText.step2.title,Шаг №2,Выберите тип сотрудничества
35,indexStepsText.step2.text|dot,Описание Шага №2,Выберите подходящие для вас условия торговли
36,indexStepsText.step3.title,Шаг №3,Начните торговать
37,indexStepsText.step3.text|dot,Описание Шага №3,Освойте функционал платформы и совершите первую сделку
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,Типы аккаунтов
