id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Comercio altamente rentable en la mejor plataforma del mundo
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,La plataforma de negociación innovadora le permite llevar a cabo transacciones instantáneamente y ganar dinero en los 6 mercados financieros
3,indexHeaderText.slide2.title,Заголовок №2,La seguridad
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Company Name asegura cuidadosamente que los fondos de los clientes estén totalmente protegidos
5,indexHeaderText.slide3.title,Заголовок №3,Conveniencia
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Hemos creado la mejor versión móvil de la plataforma para que pueda comerciar desde cualquier parte del mundo.
7,indexHeaderText.slide4.title,Заголовок №4,Oportunidades
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Nuestro equipo ha recopilado docenas de instrumentos comerciales efectivos en la plataforma para comercio cómodo y eficiente
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,¿Por qué Company Name?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Disponibilidad
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,Le damos a nuestros clientes la oportunidad de comenzar a comerciar con una cantidad mínima en su cuenta.
12,indexAdvantagesText.advantage2.title,Преимущество №2,Beneficio
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Nos aseguramos de que el monto de la comisión siga siendo el más bajo en el mercado de servicios del corredor
14,indexAdvantagesText.advantage3.title,Преимущество №3,Mejoramiento
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Ofrecemos una opción de 3 opciones de cooperación con Company Name, dependiendo de su experiencia y fondos."
16,indexAdvantagesText.advantage4.title,Преимущество №4,Transparencia
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Informamos rápidamente a nuestros clientes sobre todos los cambios en la operación de la plataforma y los términos de cooperación
18,indexAdvantagesText.advantage5.title,Преимущество №5,Apoyo
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Expertos con experiencia financiera Company Name ayudan a los clientes a formar estrategias comerciales y realizar transacciones exitosas
20,indexAdvantagesText.advantage6.title,Преимущество №6,Oportunidades
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,"Proporcionamos una opción de cientos de activos en 6 mercados financieros, para operaciones exitosas"
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Máxima eficiencia
23,indexBenefitsText.benefit1.title,Преимущество №1,Liquidez
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Sus transacciones se ejecutan instantáneamente
25,indexBenefitsText.benefit2.title,Преимущество №2,Relevancia
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Puedes ver los precios exactos en tiempo real
27,indexBenefitsText.benefit3.title,Преимущество №3,Apoyo
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Cada uno de sus problemas se resolverá en cuestión de horas
29,indexBenefitsText.benefit4.title,Преимущество №4,Servicio
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Hemos creado todas las condiciones para que cada cliente de Company Name pueda realizar plenamente su potencial
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Complete un breve registro para acceder a la plataforma
32,indexStepsText.step1.title,Шаг №1,Crea una cuenta
33,indexStepsText.step1.text|dot,Описание Шага №1,Complete los datos de contacto y confirme
34,indexStepsText.step2.title,Шаг №2,Seleccione el tipo de cooperación
35,indexStepsText.step2.text|dot,Описание Шага №2,Elija los términos comerciales que sean adecuados para usted
36,indexStepsText.step3.title,Шаг №3,Comienza a negociar
