id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Dünyanın en iyi platformunda yüksek kârlı ticaret
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,"Yenilikçi ticaret platformu, 6 finansal piyasadan anında işlem yapmanıza ve para kazanmanıza imkâ sağlar"
3,indexHeaderText.slide2.title,Заголовок №2,Güvenlik
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Company Name müşteri fonlarının tamamen korunduğundan emin olmak için dikkatli bir şekilde izlemektedir
5,indexHeaderText.slide3.title,Заголовок №3,Konfor
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,"Platformun en iyi mobil sürümünü oluşturduk, böylece dünyanın herhangi bir yerinden ticaret yapabilirsiniz"
7,indexHeaderText.slide4.title,Заголовок №4,Olanaklar
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,"Ekibimiz, rahat ve verimli ticaret için platformda onlarca etkili ticaret aracı topladı"
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Neden Company Name?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Erişilebilirlik
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,Müşterilere hesapta minimum tutarla ticarete başlama imkânı sunuyoruz
12,indexAdvantagesText.advantage2.title,Преимущество №2,Kâr
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Komisyonun büyüklüğünün aracılık piyasasında en düşük seviyede kalmasını takip ediyoruz
14,indexAdvantagesText.advantage3.title,Преимущество №3,Optimizasyon
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,Deneyimlerinize ve araçlarınıza bağlı olarak Company Name ile seçim yapabileceğiniz 3 işbirliği seçeneği sunuyoruz
16,indexAdvantagesText.advantage4.title,Преимущество №4,Şeffaflık
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Müşterilere platformdaki tüm değişiklikler ve işbirliği koşulları hakkında derhal bilgi veriyoruz
18,indexAdvantagesText.advantage5.title,Преимущество №5,Destek
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,"Deneyimli Company Name finansal uzmanları, müşterilerin ticaret stratejileri oluşturmasına ve başarılı anlaşmalar yapmasına yardımcı olur"
20,indexAdvantagesText.advantage6.title,Преимущество №6,Olanaklar
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Başarılı ticaret için 6 finansal piyasadan yüzlerce varlık arasından seçim yapıyoruz
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Maksimum verimlilik
23,indexBenefitsText.benefit1.title,Преимущество №1,Likidite
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,İşlemleriniz anında gerçekleştirilir
25,indexBenefitsText.benefit2.title,Преимущество №2,Güncellik
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Doğru fiyatları gerçek zamanlı olarak görüyorsunuz
27,indexBenefitsText.benefit3.title,Преимущество №3,Destek
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Sorunlarınızın her biri birkaç saat içinde çözülecektir
29,indexBenefitsText.benefit4.title,Преимущество №4,Servis
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Her Company Name müşterisinin potansiyeline tam olarak erişebilmesi için tüm koşulları oluşturduk
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Platforma erişmek için kısa kayıt işlemini yapın
32,indexStepsText.step1.title,Шаг №1,Hesap oluşturun
33,indexStepsText.step1.text|dot,Описание Шага №1,İletişim bilgilerinizi doldurun ve onaylayın
34,indexStepsText.step2.title,Шаг №2,İşbirliği türünü seçin
