id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,在世界上最好的平台上进行高利润的交易
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,创新的交易平台使您可以立即进行交易并在6个金融市场上赚钱
3,indexHeaderText.slide2.title,Заголовок №2,安全
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Company Name仔细确保客户资金得到充分保护
5,indexHeaderText.slide3.title,Заголовок №3,方便
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,我们创建了该平台最好的移动版本，以便您可以从世界任何地方进行交易
7,indexHeaderText.slide4.title,Заголовок №4,机会
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,我们的团队已在平台上收集了数十种有效的交易工具，以进行舒适和高效的交易
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,为什么Company Name？
10,indexAdvantagesText.advantage1.title,Преимущество №1,可用性
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,我们为客户提供了开始交易的机会，他们的帐户最低金额
12,indexAdvantagesText.advantage2.title,Преимущество №2,益处
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,我们确保佣金金额仍然是经纪人服务市场上最低的
14,indexAdvantagesText.advantage3.title,Преимущество №3,优化
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,根据您的经验和资金，我们提供了3种与Company Name合作的选择
16,indexAdvantagesText.advantage4.title,Преимущество №4,透明度
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,我们立即将平台操作的所有变化和合作条款通知客户
18,indexAdvantagesText.advantage5.title,Преимущество №5,支持
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,经验丰富的财务专家Company Name帮助客户制定交易策略并成功交易
20,indexAdvantagesText.advantage6.title,Преимущество №6,机会
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,我们在6个金融市场上提供数百种资产的选择，用于成功交易
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,最大效率
23,indexBenefitsText.benefit1.title,Преимущество №1,流动性
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,您的交易立即执行
25,indexBenefitsText.benefit2.title,Преимущество №2,关联
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,您可以实时看到确切的价格
27,indexBenefitsText.benefit3.title,Преимущество №3,支持
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,您的每个问题都将在几个小时内解决
29,indexBenefitsText.benefit4.title,Преимущество №4,服务
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,我们已经创建了所有条件，以便Company Name的每个客户都可以完全意识
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,完成简短的注册以访问平台
32,indexStepsText.step1.title,Шаг №1,创建一个帐户
33,indexStepsText.step1.text|dot,Описание Шага №1,填写联系方式并确认
34,indexStepsText.step2.title,Шаг №2,选择合作类型
35,indexStepsText.step2.text|dot,Описание Шага №2,选择适合您的交易条款
36,indexStepsText.step3.title,Шаг №3,开始交易
37,indexStepsText.step3.text|dot,Описание Шага №3,掌握平台的功能并进行第一次交易
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,帐户类型
39,indexAccountsText.account1.title,Аккаунт №1,Beginner
40,indexAccountsText.account1.text|dot,Подзаголовок для аккаунта №1,合适的乐器，可自信地开始传统
41,indexAccountsText.account2.title,Аккаунт №2,Amateur
42,indexAccountsText.account2.text|dot,Подзаголовок для аккаунта №2,在市场上获得永久收入的所有机会
43,indexAccountsText.account3.title,Аккаунт №3,Expert
44,indexAccountsText.account3.text|dot,Подзаголовок для аккаунта №3,无限的服务范围用于成功交易
