id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Trading très rentable sur la meilleure plate-forme du monde
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,La plate-forme de trading innovante vous permet de réaliser instantanément des transactions et de gagner de l'argent sur les 6 marchés financiers
3,indexHeaderText.slide2.title,Заголовок №2,Sécurité
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Company Name s'assure soigneusement que les fonds des clients sont entièrement protégés
5,indexHeaderText.slide3.title,Заголовок №3,Commodité
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Nous avons créé la meilleure version mobile de la plate-forme afin que vous puissiez échanger de n'importe où dans le monde
7,indexHeaderText.slide4.title,Заголовок №4,Opportunités
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Notre équipe a collecté des dizaines d'instruments de trading efficaces sur la plate-forme pour un trading confortable et efficace
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Pourquoi Company Name?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Disponibilité
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,Nous donnons à nos clients la possibilité de commencer à négocier avec un montant minimum sur leur compte
12,indexAdvantagesText.advantage2.title,Преимущество №2,Bénéficier à
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Nous nous assurons que le montant de la commission reste le plus bas sur le marché des services du courtier
14,indexAdvantagesText.advantage3.title,Преимущество №3,Optimisation
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Nous offrons un choix de 3 options de coopération avec Company Name, en fonction de votre expérience et de vos fonds"
16,indexAdvantagesText.advantage4.title,Преимущество №4,Transparence
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Nous informons rapidement nos clients de tous les changements dans le fonctionnement de la plate-forme et des termes de coopération
18,indexAdvantagesText.advantage5.title,Преимущество №5,Soutien
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Des experts financiers expérimentés Company Name aident les clients à former des stratégies de trading et à effectuer des transactions réussies
20,indexAdvantagesText.advantage6.title,Преимущество №6,Opportunités
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,"Nous fournissons un choix de centaines d'actifs sur 6 marchés financiers, pour le commerce réussi"
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Efficacité maximale
23,indexBenefitsText.benefit1.title,Преимущество №1,Liquidité
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Vos transactions sont exécutées instantanément
25,indexBenefitsText.benefit2.title,Преимущество №2,Pertinence
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Vous pouvez voir les prix exacts en temps réel
27,indexBenefitsText.benefit3.title,Преимущество №3,Soutien
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Chacun de vos problèmes sera résolu en quelques heures
29,indexBenefitsText.benefit4.title,Преимущество №4,Service
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Nous avons créé toutes les conditions afin que chaque client de Company Name puisse pleinement réaliser son potentiel
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Complétez une courte inscription pour accéder à la plate-forme
32,indexStepsText.step1.title,Шаг №1,Créer un compte
33,indexStepsText.step1.text|dot,Описание Шага №1,Remplissez les coordonnées et confirmez-les
34,indexStepsText.step2.title,Шаг №2,Sélectionnez le type de coopération
35,indexStepsText.step2.text|dot,Описание Шага №2,Choisissez les termes de trading qui vous conviennent
36,indexStepsText.step3.title,Шаг №3,Commencer à échanger
37,indexStepsText.step3.text|dot,Описание Шага №3,Maîtriser les fonctionnalités de la plate-forme et effectuer votre première transaction
