id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Wysoce dochodowy handel na najlepszej platformie na świecie
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Innowacyjna platforma handlowa pozwala błyskawicznie przeprowadzać transakcje i zarabiać na 6 rynkach finansowych
3,indexHeaderText.slide2.title,Заголовок №2,Bezpieczeństwo
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Company Name starannie zapewnia pełną ochronę środków klientów
5,indexHeaderText.slide3.title,Заголовок №3,Wygoda
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,"Stworzyliśmy najlepszą mobilną wersję platformy, dzięki której możesz handlować z dowolnego miejsca na świecie"
7,indexHeaderText.slide4.title,Заголовок №4,Możliwości
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Nasz zespół zebrał dziesiątki skutecznych instrumentów handlowych na platformie do wygodnego i wydajnego handlu
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Dlaczego Company Name?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Dostępność
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,Dajemy naszym klientom możliwość rozpoczęcia handlu z minimalną kwotą na koncie
12,indexAdvantagesText.advantage2.title,Преимущество №2,Korzyść
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Dbamy o to, aby wysokość prowizji pozostała najniższa na rynku usług brokera
14,indexAdvantagesText.advantage3.title,Преимущество №3,Optymalizacja
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Oferujemy do wyboru 3 opcje współpracy z Company Name, w zależności od Twojego doświadczenia i funduszy"
16,indexAdvantagesText.advantage4.title,Преимущество №4,Przezroczystość
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Na bieżąco informujemy naszych klientów o wszelkich zmianach w działaniu platformy i warunkach współpracy
18,indexAdvantagesText.advantage5.title,Преимущество №5,Wspierać się
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Doświadczeni eksperci finansowi Company Name pomagają klientom tworzyć strategie handlowe i dokonywać udanych transakcji
20,indexAdvantagesText.advantage6.title,Преимущество №6,Możliwości
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,"Zapewniamy wybór setek aktywów na 6 rynkach finansowych, umożliwiających udany handel"
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Maksymalna wydajność
23,indexBenefitsText.benefit1.title,Преимущество №1,Płynność
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Twoje transakcje są realizowane natychmiast
25,indexBenefitsText.benefit2.title,Преимущество №2,Znaczenie
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Możesz zobaczyć dokładne ceny w czasie rzeczywistym
27,indexBenefitsText.benefit3.title,Преимущество №3,Wspierać się
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Każdy Twój problem zostanie rozwiązany w ciągu kilku godzin
29,indexBenefitsText.benefit4.title,Преимущество №4,Usługa
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Stworzyliśmy wszelkie warunki, aby każdy klient Company Name mógł w pełni zrealizować swój potencjał
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Wypełnij krótką rejestrację, aby uzyskać dostęp do platformy
32,indexStepsText.step1.title,Шаг №1,Utwórz konto
33,indexStepsText.step1.text|dot,Описание Шага №1,Wypełnij dane kontaktowe i potwierdź je
34,indexStepsText.step2.title,Шаг №2,Wybierz rodzaj współpracy
35,indexStepsText.step2.text|dot,Описание Шага №2,Wybierz warunki handlowe, które są dla Ciebie odpowiednie
