id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Highly profitable trading on the best platform in the world
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Innovative trading platform allows you to instantly carry out transactions and make money on the 6 financial markets
3,indexHeaderText.slide2.title,Заголовок №2,Safety
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Company Name carefully ensures that clients funds are fully protected
5,indexHeaderText.slide3.title,Заголовок №3,Convenience
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,We've created the best mobile version of the platform so that you can trade from anywhere in the world
7,indexHeaderText.slide4.title,Заголовок №4,Opportunities
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Our team has collected dozens of effective trading instruments on the platform for comfortable and efficient trading
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Why Company Name?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Availability
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,We give our clients the opportunity to start trading with a minimum amount on their account
12,indexAdvantagesText.advantage2.title,Преимущество №2,Benefit
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,We make sure that the commission amount remains the lowest on the broker's services market
14,indexAdvantagesText.advantage3.title,Преимущество №3,Optimization
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"We offer a choice of 3 options for cooperation with Company Name, depending on your experience and funds"
16,indexAdvantagesText.advantage4.title,Преимущество №4,Transparency
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,We promptly inform our clients about all changes in the operation of the platform and the terms of cooperation
18,indexAdvantagesText.advantage5.title,Преимущество №5,Support
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Experienced financial experts Company Name help clients form trading strategies and make successful transactions
20,indexAdvantagesText.advantage6.title,Преимущество №6,Opportunities
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,"We provide a choice of hundreds of assets on 6 financial markets, for successful trading"
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Maximum efficiency
23,indexBenefitsText.benefit1.title,Преимущество №1,Liquidity
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Your transactions are executed instantly
25,indexBenefitsText.benefit2.title,Преимущество №2,Relevance
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,You can see the exact prices in real time
27,indexBenefitsText.benefit3.title,Преимущество №3,Support
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Each of your problems will be solved in a matter of hours
29,indexBenefitsText.benefit4.title,Преимущество №4,Service
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,We have created all the conditions so that every client of Company Name can fully realize their potential
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Complete a short registration to access the platform
32,indexStepsText.step1.title,Шаг №1,Create an account
33,indexStepsText.step1.text|dot,Описание Шага №1,Fill in the contact details and confirm them
34,indexStepsText.step2.title,Шаг №2,Select the type of cooperation
35,indexStepsText.step2.text|dot,Описание Шага №2,Choose the trading terms that are suitable for you
36,indexStepsText.step3.title,Шаг №3,Start trading
37,indexStepsText.step3.text|dot,Описание Шага №3,Master the functionality of the platform and make your first transaction
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,Account types
39,indexAccountsText.account1.title,Аккаунт №1,Beginner
40,indexAccountsText.account1.text|dot,Подзаголовок для аккаунта №1,Suitable instruments for a confident start in tradin
41,indexAccountsText.account2.title,Аккаунт №2,Amateur
42,indexAccountsText.account2.text|dot,Подзаголовок для аккаунта №2,All the opportunities for obtaining a permanent income on the market
43,indexAccountsText.account3.title,Аккаунт №3,Expert
