id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Hochprofitabler Handel mit der besten Plattform der Welt
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Mit innovativer Handelsplattform können Sie sofort Transaktionen durchführen und Geld auf den 6 Finanzmärkten verdienen
3,indexHeaderText.slide2.title,Заголовок №2,Sicherheit
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,"Company Name stellt sorgfältig sicher, dass Client -Fonds vollständig geschützt sind"
5,indexHeaderText.slide3.title,Заголовок №3,Bequemlichkeit
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,"Wir haben die beste mobile Version der Plattform erstellt, damit Sie von überall auf der Welt handeln können"
7,indexHeaderText.slide4.title,Заголовок №4,Gelegenheiten
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Unser Team hat Dutzende effektiver Handelsinstrumente auf der Plattform für einen komfortablen und effizienten Handel gesammelt
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Warum Company Name?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Verfügbarkeit
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Wir geben unseren Kunden die Möglichkeit, mit dem Handel mit einem Mindestbetrag auf ihrem Konto zu beginnen"
12,indexAdvantagesText.advantage2.title,Преимущество №2,Nutzen
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,"Wir stellen sicher, dass der Provisionsbetrag auf dem Dienstleistungsmarkt des Broker am niedrigsten bleibt"
14,indexAdvantagesText.advantage3.title,Преимущество №3,Optimierung
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Wir bieten eine Auswahl an 3 Optionen für die Zusammenarbeit mit Company Name, abhängig von Ihren Erfahrungen und Mitteln"
16,indexAdvantagesText.advantage4.title,Преимущество №4,Transparenz
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Wir informieren unsere Kunden umgehend über alle Änderungen im Betrieb der Plattform und über die Bedingungen der Zusammenarbeit
18,indexAdvantagesText.advantage5.title,Преимущество №5,Die Unterstützung
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,"Erfahrene Finanzexperten Company Name helfen Kunden dabei, Handelsstrategien zu formen und erfolgreiche Transaktionen durchzuführen"
20,indexAdvantagesText.advantage6.title,Преимущество №6,Gelegenheiten
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Wir bieten eine Auswahl an Hunderten von Vermögenswerten auf 6 Finanzmärkten für einen erfolgreichen Handel
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Maximale Effizienz
23,indexBenefitsText.benefit1.title,Преимущество №1,Liquidität
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Ihre Transaktionen werden sofort ausgeführt
25,indexBenefitsText.benefit2.title,Преимущество №2,Relevanz
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Sie können die genauen Preise in Echtzeit sehen
27,indexBenefitsText.benefit3.title,Преимущество №3,Die Unterstützung
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Jedes Ihrer Probleme wird in wenigen Stunden gelöst
29,indexBenefitsText.benefit4.title,Преимущество №4,Service
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,"Wir haben alle Bedingungen erstellt, so dass jeder Client von Company Name sein Potenzial voll ausschöpfen kann"
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,"Schließen Sie eine kurze Registrierung aus, um auf die Plattform zuzugreifen"
32,indexStepsText.step1.title,Шаг №1,Ein Konto erstellen
